sexo,idade,peso,altura,nivel,dias_disponiveis,tempo_disponivel,split
M,40,103.2,1.62,iniciante,3,70,Full Body 3x
M,53,93.4,1.52,iniciante,4,60,Upper/Lower 2x
M,19,101.5,1.85,intermediario,6,70,Arnold Split
M,48,104.3,1.58,intermediario,5,50,Bro Split
F,59,50.1,1.69,intermediario,5,70,Upper/Lower 2x + Full Body
F,48,71.8,1.99,intermediario,5,80,Upper/Lower 2x + Full Body
F,39,73.9,1.85,iniciante,4,70,Upper/Lower 2x
M,64,111.3,1.69,intermediario,5,50,Bro Split
F,30,80.1,1.84,iniciante,4,60,Upper/Lower 2x
F,27,64.0,1.99,intermediario,4,70,Upper/Lower 2x
M,50,69.9,1.52,iniciante,5,40,Upper/Lower 3x + Full Body
F,55,55.6,1.75,avancado,6,50,Upper/Lower 3x
F,24,82.4,1.71,intermediario,5,50,Lower Focus (LULUL)
F,67,49.5,1.52,iniciante,4,70,Upper/Lower 2x
M,32,80.0,1.8,intermediario,5,90,UL PPL
M,51,99.2,1.56,avancado,5,70,Bro Split
F,29,66.7,1.73,avancado,5,90,Lower Focus (LULUL)
M,45,111.6,1.65,intermediario,4,50,Full Body 4x
M,45,93.9,1.74,iniciante,5,80,Upper/Lower 3x + Full Body
F,49,57.0,1.62,intermediario,3,40,Full Body 3x
M,34,118.6,1.77,iniciante,6,80,PPL 2x
F,24,93.2,1.96,avancado,4,70,Upper/Lower 2x
F,31,66.9,1.76,iniciante,4,40,Full Body 4x
M,19,93.2,1.5,intermediario,3,50,Full Body 3x
F,54,48.5,1.62,intermediario,4,60,Full Body 4x
F,44,57.1,1.74,intermediario,3,40,Full Body 3x
F,32,65.6,1.93,iniciante,3,40,Full Body 3x
M,44,71.2,1.6,intermediario,6,50,Upper/Lower 3x
M,33,83.8,1.93,intermediario,3,70,Full Body 3x
M,36,118.0,1.96,avancado,4,60,Upper/Lower 2x
F,34,90.1,1.58,iniciante,6,60,PPL 2x
F,47,59.3,1.85,intermediario,6,50,Upper/Lower 3x
M,28,92.6,1.77,intermediario,3,40,Full Body 3x
M,34,58.7,1.75,avancado,3,70,PPL 1x
M,41,81.2,1.97,intermediario,3,70,Full Body 3x
F,32,91.7,1.6,intermediario,4,60,Full Body 4x
F,23,67.9,1.96,avancado,3,60,PPL 1x
M,68,59.8,1.61,iniciante,5,80,Upper/Lower 3x + Full Body
F,52,59.2,1.72,intermediario,5,70,Upper/Lower 2x + Full Body
M,64,98.4,1.78,avancado,3,80,Full Body 3x
M,24,112.8,1.87,iniciante,5,70,Upper/Lower 3x + Full Body
M,43,99.7,1.93,intermediario,5,80,UL PPL
M,50,96.2,1.91,iniciante,5,70,Upper/Lower 3x + Full Body
F,40,53.1,1.72,intermediario,3,50,Full Body 3x
M,58,90.5,1.92,intermediario,4,60,Full Body 4x
F,20,89.9,1.9,avancado,5,50,Upper/Lower 2x + Full Body
M,27,78.0,1.78,avancado,4,80,Upper/Lower 2x
M,26,118.5,1.91,avancado,3,50,PPL 1x
F,56,85.1,1.93,avancado,5,50,Upper/Lower 2x + Full Body
F,43,88.6,1.93,iniciante,6,60,PPL 2x
M,49,69.5,1.83,intermediario,5,80,UL PPL
F,61,62.6,1.75,intermediario,5,80,Upper/Lower 2x + Full Body
F,23,53.9,1.98,iniciante,3,70,Full Body 3x
F,30,66.8,1.99,iniciante,4,60,Upper/Lower 2x
M,43,88.8,1.9,intermediario,4,60,Full Body 4x
F,21,76.2,1.83,iniciante,5,60,Upper/Lower 3x + Full Body
F,41,65.1,1.65,iniciante,6,70,PPL 2x
M,31,95.0,1.65,intermediario,3,60,Full Body 3x
F,26,68.2,1.72,iniciante,6,70,PPL 2x
